year,code,area,active_enterprises,births,birth_rate,deaths,death_rate
2019,E09000001,City of London,26215,3525,13.4,3275,12.5
2019,E09000002,Barking and Dagenham,8440,1605,19.0,1100,13.0
2019,E09000003,Barnet,27735,4235,15.3,2960,10.7
2019,E09000004,Bexley,10220,1540,15.1,1075,10.5
2019,E09000005,Brent,17980,2860,15.9,2030,11.3
2019,E09000006,Bromley,17335,2075,12.0,1950,11.2
2019,E09000007,Camden,36835,5360,14.6,3985,10.8
2019,E09000008,Croydon,17145,2340,13.6,2010,11.7
2019,E09000009,Ealing,20355,2780,13.7,2195,10.8
2019,E09000010,Enfield,15515,2460,15.9,1815,11.7
2019,E09000011,Greenwich,11865,1890,15.9,1465,12.3
2019,E09000012,Hackney,25250,4425,17.5,2900,11.5
2019,E09000013,Hammersmith and Fulham,14155,1860,13.1,1605,11.3
2019,E09000014,Haringey,14525,2310,15.9,1735,11.9
2019,E09000015,Harrow,17335,2395,13.8,1945,11.2
2019,E09000016,Havering,11765,1980,16.8,1305,11.1
2019,E09000017,Hillingdon,15530,2315,14.9,1605,10.3
2019,E09000018,Hounslow,15115,2235,14.8,1680,11.1
2019,E09000019,Islington,23840,4255,17.8,2690,11.3
2019,E09000020,Kensington and Chelsea,15205,1945,12.8,1540,10.1
2019,E09000021,Kingston upon Thames,9900,1250,12.6,1060,10.7
2019,E09000022,Lambeth,16180,2345,14.5,1940,12.0
2019,E09000023,Lewisham,11805,1855,15.7,1450,12.3
2019,E09000024,Merton,12870,1770,13.8,1440,11.2
2019,E09000025,Newham,15865,3220,20.3,3220,20.3
2019,E09000026,Redbridge,16870,2795,16.6,2115,12.5
2019,E09000027,Richmond upon Thames,15055,1795,11.9,1510,10.0
2019,E09000028,Southwark,18755,2645,14.1,1955,10.4
2019,E09000029,Sutton,9870,1395,14.1,995,10.1
2019,E09000030,Tower Hamlets,19765,3020,15.3,2415,12.2
2019,E09000031,Waltham Forest,13745,2515,18.3,1710,12.4
2019,E09000032,Wandsworth,19510,2810,14.4,2310,11.8
2019,E09000033,Westminster,55170,6745,12.2,4935,8.9
2019,E12000003,Yorkshire And The Humber,196320,23405,11.9,19630,10.0
2019,K04000001,England And Wales,2648645,337100,12.7,280395,10.6
2020,E09000001,City of London,24020,2005,8.3,2905,12.1
2020,E09000002,Barking and Dagenham,8855,1610,18.2,1085,12.3
2020,E09000003,Barnet,28395,4030,14.2,2970,10.5
2020,E09000004,Bexley,10225,1190,11.6,1235,12.1
2020,E09000005,Brent,18300,2690,14.7,2070,11.3
2020,E09000006,Bromley,17160,1840,10.7,1980,11.5
2020,E09000007,Camden,37510,5100,13.6,3770,10.1
2020,E09000008,Croydon,17120,2230,13.0,1990,11.6
2020,E09000009,Ealing,20570,2675,13.0,2310,11.2
2020,E09000010,Enfield,16325,2610,16.0,1775,10.9
2020,E09000011,Greenwich,12015,1730,14.4,1610,13.4
2020,E09000012,Hackney,26115,4250,16.3,2970,11.4
2020,E09000013,Hammersmith and Fulham,13950,1695,12.2,1590,11.4
2020,E09000014,Haringey,14630,2115,14.5,1640,11.2
2020,E09000015,Harrow,17515,2260,12.9,1970,11.2
2020,E09000016,Havering,11975,1655,13.8,1440,12.0
2020,E09000017,Hillingdon,15920,2330,14.6,1690,10.6
2020,E09000018,Hounslow,15190,1950,12.8,1740,11.5
2020,E09000019,Islington,23770,3525,14.8,2975,12.5
2020,E09000020,Kensington and Chelsea,15100,1785,11.8,1550,10.3
2020,E09000021,Kingston upon Thames,10225,1420,13.9,1150,11.2
2020,E09000022,Lambeth,16005,2075,13.0,1995,12.5
2020,E09000023,Lewisham,11770,1615,13.7,1520,12.9
2020,E09000024,Merton,12940,1590,12.3,1525,11.8
2020,E09000025,Newham,15280,2880,18.8,2370,15.5
2020,E09000026,Redbridge,17355,2680,15.4,2440,14.1
2020,E09000027,Richmond upon Thames,14995,1520,10.1,1600,10.7
2020,E09000028,Southwark,18510,2255,12.2,2165,11.7
2020,E09000029,Sutton,9820,1050,10.7,1215,12.4
2020,E09000030,Tower Hamlets,19485,2650,13.6,2550,13.1
2020,E09000031,Waltham Forest,13960,2180,15.6,1790,12.8
2020,E09000032,Wandsworth,19150,2305,12.0,2495,13.0
2020,E09000033,Westminster,55035,6145,11.2,4690,8.5
2020,E12000003,Yorkshire And The Humber,198345,22655,11.4,19030,9.6
2020,K04000001,England And Wales,2658340,310500,11.7,276805,10.4
2021,E09000001,City of London,22840,2030,8.9,1575,6.9
2021,E09000002,Barking and Dagenham,9315,1715,18.4,1295,13.9
2021,E09000003,Barnet,29470,4570,15.5,2945,10.0
2021,E09000004,Bexley,10175,1290,12.7,1255,12.3
2021,E09000005,Brent,18450,2735,14.8,2240,12.1
2021,E09000006,Bromley,16855,1880,11.2,2080,12.3
2021,E09000007,Camden,38540,5600,14.5,4165,10.8
2021,E09000008,Croydon,17450,2450,14.0,2330,13.4
2021,E09000009,Ealing,20600,2745,13.3,2400,11.7
2021,E09000010,Enfield,17235,2930,17.0,1920,11.1
2021,E09000011,Greenwich,11830,1630,13.8,1710,14.5
2021,E09000012,Hackney,27465,4745,17.3,3095,11.3
2021,E09000013,Hammersmith and Fulham,13805,1705,12.4,1515,11.0
2021,E09000014,Haringey,15255,2480,16.3,1765,11.6
2021,E09000015,Harrow,17705,2215,12.5,2200,12.4
2021,E09000016,Havering,11915,1495,12.5,1615,13.6
2021,E09000017,Hillingdon,16325,2305,14.1,2035,12.5
2021,E09000018,Hounslow,15290,2055,13.4,1850,12.1
2021,E09000019,Islington,24910,4135,16.6,2970,11.9
2021,E09000020,Kensington and Chelsea,15065,1910,12.7,1505,10.0
2021,E09000021,Kingston upon Thames,9885,1095,11.1,1290,13.1
2021,E09000022,Lambeth,15765,2105,13.4,1960,12.4
