,,Employment size,,,,,,,,
Code,Area,0-4,5-9,10-19,20-49,50-99,100-249,250+,Total,
,,,,,,,,,,
E09000001,City of London,"14,895","2,925","2,040","1,150",575,375,315,"22,275",
E09000002,Barking and Dagenham,"6,630",640,305,125,45,30,10,"7,785",
E09000003,Barnet,"22,385","1,995",845,370,125,85,30,"25,835",
E09000004,Bexley,"7,485",825,370,190,70,40,20,"9,000",
E09000005,Brent,"13,590","1,435",665,275,100,65,40,"16,170",
E09000006,Bromley,"12,790","1,245",565,300,105,50,45,"15,100",
E09000007,Camden,"27,130","3,205","1,810","1,035",410,250,195,"34,035",
E09000008,Croydon,"12,905","1,245",590,270,95,60,40,"15,205",
E09000009,Ealing,"15,315","1,620",700,355,115,60,35,"18,200",
E09000010,Enfield,"12,300","1,265",565,255,85,40,30,"14,540",
E09000011,Greenwich,"8,955",720,355,160,45,35,25,"10,295",
E09000012,Hackney,"19,345","1,975","1,080",570,180,75,45,"23,270",
E09000013,Hammersmith and Fulham,"9,930","1,175",630,355,155,90,65,"12,400",
E09000014,Haringey,"11,060","1,040",490,195,50,30,10,"12,875",
E09000015,Harrow,"13,370","1,170",530,215,65,50,25,"15,425",
E09000016,Havering,"8,670","1,025",455,205,60,35,25,"10,475",
E09000017,Hillingdon,"11,855","1,245",590,325,165,95,85,"14,360",
E09000018,Hounslow,"11,315","1,085",565,275,125,85,70,"13,520",
E09000019,Islington,"17,160","1,900","1,170",680,250,140,110,"21,410",
E09000020,Kensington and Chelsea,"10,810","1,440",740,420,155,65,50,"13,680",
E09000021,Kingston upon Thames,"7,735",660,330,185,65,35,20,"9,030",
E09000022,Lambeth,"11,530","1,160",695,380,105,60,40,"13,970",
E09000023,Lewisham,"8,875",720,345,135,45,20,15,"10,155",
E09000024,Merton,"9,745",845,415,230,75,30,25,"11,365",
E09000025,Newham,"11,130","1,005",425,185,45,45,40,"12,875",
E09000026,Redbridge,"12,990","1,085",505,195,55,25,15,"14,870",
E09000027,Richmond upon Thames,"11,405","1,020",520,200,85,50,40,"13,320",
E09000028,Southwark,"13,005","1,635","1,035",685,235,150,115,"16,860",
E09000029,Sutton,"7,335",695,325,165,50,25,25,"8,620",
E09000030,Tower Hamlets,"13,290","1,710",910,520,195,125,105,"16,855",
E09000031,Waltham Forest,"10,545",935,385,190,40,25,15,"12,135",
E09000032,Wandsworth,"14,170","1,310",600,295,105,50,35,"16,565",
E09000033,Westminster,"37,310","6,805","4,180","2,080",850,485,405,"52,115",
,,,,,,,,,,
E13000001,Inner London,"219,640","28,005","16,150","8,685","3,355","1,960","1,545","279,340",
E13000002,Outer London,"217,320","20,755","9,580","4,485","1,570",920,620,"255,250",
,,,,,,,,,,
E12000001,North East,"54,175","9,565","4,625","2,560",785,470,345,"72,525",
E12000002,North West,"210,170","31,015","15,610","8,735","2,800","1,575","1,040","270,945",
E12000003,Yorkshire and The Humber,"146,345","23,280","11,575","6,365","2,090","1,090",785,"191,530",
E12000004,East Midlands,"146,010","22,865","10,570","5,825","1,905","1,040",710,"188,925",
E12000005,West Midlands,"170,330","26,005","12,225","6,535","2,195","1,170",935,"219,395",
E12000006,East,"215,420","29,015","14,240","7,650","2,545","1,410",965,"271,245",
E12000007,London,"436,960","48,760","25,730","13,170","4,925","2,880","2,165","534,590",
E12000008,South East,"336,295","43,270","21,515","11,550","3,735","2,230","1,590","420,185",
E12000009,South West,"183,570","28,000","13,470","7,375","2,295","1,145",770,"236,625", 
,,,,,,,,,,
E92000001,England,"1,899,275","261,775","129,560","69,765","23,275","13,010","9,305","2,405,965",
W92000004,Wales,"82,740","13,255","6,065","3,240",975,495,315,"107,085",
S92000003,Scotland,"131,540","22,905","11,560","6,000","1,750",965,680,"175,400",
N92000002,Northern Ireland,"60,325","8,325","4,180","2,445",755,425,240,"76,695",
,,,,,,,,,,
K04000001,England and Wales,"1,982,015","275,030","135,625","73,005","24,250","13,505","9,620","2,513,050",
K03000001,Great Britain,"2,113,555","297,935","147,185","79,005","26,000","14,470","10,300","2,688,450",
K02000001,United Kingdom,"2,173,880","306,260","151,365","81,450","26,755","14,895","10,540","2,765,145",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
