Code,Area,% in employment who are employees - working age,,,,% in employment who are self employed - working age,,,,% in employment working full-time - working age,,,,% in employment working part-time - working age,,,,% of males in employment rate working full-time - working age,,,,% of males in employment rate working part-time - working age,,,,% of females in employment rate working full-time - working age,,,,% of females in employment rate working part-time - working age,,,
,,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,21500,25800,83.1,*,!,25800,!,!,23800,25800,92.1,16.8,!,25800,!,!,17200,17200,100,-,!,17200,!,!,#,8600,76.1,*,!,8600,!,!
E09000002,Barking and Dagenham,"71,500","92,600",77.2,6.7,"20,300","92,600",21.9,6.6,"74,600","92,600",80.5,6.3,"17,600","92,600",19.0,6.3,"45,500","49,100",92.6,6.0,"3,700","49,100",7.4,*,"29,100","43,500",66.9,10.5,"13,900","43,500",31.9,10.4
E09000003,Barnet,"140,700","181,200",77.7,5.0,"39,000","181,200",21.5,4.9,"134,900","181,200",74.4,5.2,"44,700","181,200",24.7,5.2,"89,700","108,100",83.0,6.2,"18,400","108,100",17.0,6.2,"45,100","73,100",61.7,8.5,"26,300","73,100",36.0,8.4
E09000004,Bexley,"102,600","116,800",87.8,3.8,"13,200","116,800",11.3,3.7,"92,300","116,800",79.1,4.7,"23,900","116,800",20.5,4.7,"55,400","59,600",92.9,4.3,"4,200","59,600",7.1,4.3,"36,900","57,200",64.6,7.7,"19,700","57,200",34.5,7.7
E09000005,Brent,"131,400","153,600",85.6,5.8,"22,200","153,600",14.4,5.8,"119,200","153,600",77.6,6.9,"34,300","153,600",22.4,6.9,"66,600","74,700",89.1,7.6,"8,200","74,700",10.9,*,"52,700","78,800",66.8,10.6,"26,200","78,800",33.2,10.6
E09000006,Bromley,"148,300","168,600",88.0,3.8,"20,300","168,600",12.0,3.8,"133,100","168,600",79.0,4.8,"35,400","168,600",21.0,4.8,"76,400","85,500",89.4,5.2,"9,000","85,500",10.6,5.2,"56,700","83,100",68.2,7.6,"26,400","83,100",31.8,7.6
E09000007,Camden,"97,000","133,400",72.7,8.4,"36,400","133,400",27.3,8.4,"106,000","133,400",79.4,7.6,"27,400","133,400",20.6,7.6,"54,900","65,000",84.5,10.1,"10,100","65,000",15.5,*,"51,100","68,400",74.7,11.1,"17,300","68,400",25.3,11.1
E09000008,Croydon,"166,100","186,800",88.9,3.6,"20,700","186,800",11.1,3.6,"150,700","186,800",80.7,4.5,"36,000","186,800",19.3,4.5,"84,500","96,600",87.5,5.5,"12,100","96,600",12.5,5.5,"66,200","90,100",73.5,7.0,"23,900","90,100",26.5,7.0
E09000009,Ealing,"143,600","170,500",84.3,5.0,"26,300","170,500",15.4,5.0,"144,200","170,500",84.6,5.0,"25,700","170,500",15.0,5.0,"88,300","95,300",92.6,5.1,"7,000","95,300",7.4,*,"55,900","75,200",74.3,8.6,"18,600","75,200",24.8,8.5
E09000010,Enfield,"139,600","155,700",89.7,3.9,"16,100","155,700",10.3,3.9,"116,200","155,700",74.7,5.6,"37,900","155,700",24.3,5.5,"68,600","78,700",87.1,6.2,"9,500","78,700",12.0,6.0,"47,600","77,000",61.9,8.7,"28,400","77,000",37.0,8.6
E09000011,Greenwich,"133,000","153,000",87.0,4.1,"18,600","153,000",12.2,4.0,"131,800","153,000",86.1,4.3,"19,900","153,000",13.0,4.1,"71,700","77,500",92.5,4.7,"4,500","77,500",5.8,4.2,"60,100","75,500",79.6,6.9,"15,400","75,500",20.4,6.9
E09000012,Hackney,"142,200","174,200",81.6,6.2,"32,000","174,200",18.4,6.2,"142,700","174,200",81.9,6.1,"31,500","174,200",18.1,6.1,"69,900","82,000",85.3,8.8,"12,000","82,000",14.7,8.8,"72,800","92,200",78.9,8.5,"19,500","92,200",21.1,8.5
E09000013,Hammersmith and Fulham,"87,300","97,600",89.5,4.5,"10,200","97,600",10.4,4.5,"84,900","97,600",87.0,4.9,"12,600","97,600",13.0,4.9,"50,800","55,600",91.4,5.9,"4,800","55,600",8.6,*,"34,100","42,000",81.3,8.2,"7,900","42,000",18.7,8.2
E09000014,Haringey,"129,300","151,000",85.6,4.4,"21,800","151,000",14.4,4.4,"123,200","151,000",81.6,4.8,"27,800","151,000",18.4,4.8,"75,800","87,000",87.1,5.8,"11,200","87,000",12.9,5.8,"47,400","64,000",74.1,7.8,"16,600","64,000",25.9,7.8
E09000015,Harrow,"96,700","117,300",82.4,5.1,"20,000","117,300",17.0,5.0,"101,500","117,300",86.5,4.6,"15,800","117,300",13.5,4.6,"60,500","63,100",96.0,3.8,"2,600","63,100",4.0,*,"41,000","54,200",75.6,8.1,"13,200","54,200",24.4,8.1
E09000016,Havering,"112,400","133,200",84.4,3.8,"19,300","133,200",14.5,3.7,"111,800","133,200",84.0,3.8,"19,500","133,200",14.7,3.7,"72,700","78,000",93.2,3.7,"3,500","78,000",4.5,3.0,"39,100","55,200",71.0,6.9,"16,000","55,200",29.0,6.9
E09000017,Hillingdon,"135,500","151,300",89.5,4.4,"15,300","151,300",10.1,4.3,"125,300","151,300",82.8,5.4,"26,000","151,300",17.2,5.4,"73,300","81,200",90.3,6.0,"7,900","81,200",9.7,6.0,"52,100","70,200",74.2,8.9,"18,100","70,200",25.8,8.9
E09000018,Hounslow,"123,000","136,300",90.3,4.2,"13,300","136,300",9.7,4.2,"113,100","136,300",83.0,5.4,"23,200","136,300",17.0,5.4,"67,900","74,100",91.6,5.6,"6,200","74,100",8.4,5.6,"45,200","62,100",72.7,9.0,"16,900","62,100",27.3,9.0
E09000019,Islington,"116,800","138,100",84.6,4.8,"20,800","138,100",15.1,4.7,"114,500","138,100",82.9,5.0,"23,600","138,100",17.1,5.0,"69,900","75,500",92.6,5.2,"5,600","75,500",7.4,5.2,"44,600","62,500",71.3,8.1,"17,900","62,500",28.7,8.1
E09000020,Kensington and Chelsea,"48,300","65,100",74.2,7.6,"16,300","65,100",25.0,7.5,"53,500","65,100",82.1,6.6,"11,600","65,100",17.9,6.6,"27,900","31,900",87.4,8.1,"4,000","31,900",12.6,8.1,"25,600","33,200",77.1,10.4,"7,600","33,200",22.9,10.4
E09000021,Kingston upon Thames,"80,200","97,100",82.6,4.3,"16,900","97,100",17.4,4.3,"80,700","97,100",83.1,4.2,"16,000","97,100",16.5,4.2,"47,800","52,900",90.4,4.7,"4,700","52,900",8.9,4.6,"32,900","44,200",74.3,7.0,"11,400","44,200",25.7,7.0
E09000022,Lambeth,"161,900","198,100",81.7,5.1,"35,500","198,100",17.9,5.1,"173,000","198,100",87.3,4.4,"24,700","198,100",12.5,4.4,"97,500","102,100",95.5,3.9,"4,200","102,100",4.1,*,"75,500","96,100",78.6,7.7,"20,600","96,100",21.4,7.7
E09000023,Lewisham,"141,100","167,100",84.4,4.4,"25,600","167,100",15.3,4.3,"132,700","167,100",79.5,4.9,"33,800","167,100",20.2,4.8,"73,200","83,000",88.2,5.8,"9,300","83,000",11.2,5.7,"59,500","84,100",70.8,7.4,"24,500","84,100",29.2,7.4
E09000024,Merton,"95,900","110,400",86.9,4.2,"13,700","110,400",12.4,4.1,"92,400","110,400",83.6,4.6,"18,100","110,400",16.4,4.6,"54,600","60,700",89.9,5.3,"6,100","60,700",10.1,5.3,"37,800","49,700",76.0,7.6,"11,900","49,700",24.0,7.6
E09000025,Newham,"155,400","184,300",84.3,5.5,"28,900","184,300",15.7,5.5,"150,800","184,300",81.9,5.9,"32,600","184,300",17.7,5.8,"98,500","110,000",89.6,6.5,"11,500","110,000",10.4,6.5,"52,300","74,300",70.4,10.0,"21,100","74,300",28.4,9.9
E09000026,Redbridge,"114,200","133,100",85.8,4.8,"18,900","133,100",14.2,4.8,"100,100","133,100",75.2,5.9,"33,100","133,100",24.8,5.9,"60,300","71,000",84.9,7.0,"10,800","71,000",15.1,7.0,"39,800","62,100",64.1,9.2,"22,300","62,100",35.9,9.2
E09000027,Richmond upon Thames,"76,300","94,700",80.6,4.6,"18,100","94,700",19.1,4.6,"75,900","94,700",80.1,4.7,"18,800","94,700",19.9,4.7,"46,600","51,500",90.6,4.9,"4,800","51,500",9.4,4.9,"29,300","43,200",67.7,7.6,"14,000","43,200",32.3,7.6
E09000028,Southwark,"158,200","180,400",87.7,4.2,"22,200","180,400",12.3,4.2,"145,500","180,400",80.6,5.0,"34,900","180,400",19.4,5.0,"78,100","89,600",87.2,6.2,"11,500","89,600",12.8,6.2,"67,400","90,900",74.2,7.7,"23,500","90,900",25.8,7.7
E09000029,Sutton,"83,200","102,600",81.0,4.7,"18,900","102,600",18.4,4.6,"81,300","102,600",79.2,4.8,"21,300","102,600",20.8,4.8,"48,200","53,700",89.7,5.3,"5,500","53,700",10.3,5.3,"33,100","48,900",67.7,7.6,"15,800","48,900",32.3,7.6
E09000030,Tower Hamlets,"157,600","174,700",90.2,4.0,"15,900","174,700",9.1,3.9,"137,800","174,700",78.9,5.6,"36,900","174,700",21.1,5.6,"82,700","99,600",83.0,7.2,"17,000","99,600",17.0,7.2,"55,200","75,100",73.5,8.6,"19,900","75,100",26.5,8.6
E09000031,Waltham Forest,"127,900","147,300",86.8,4.5,"19,100","147,300",13.0,4.5,"125,300","147,300",85.1,4.7,"22,000","147,300",14.9,4.7,"73,700","78,700",93.6,4.7,"5,000","78,700",6.4,*,"51,600","68,600",75.3,7.9,"17,000","68,600",24.7,7.9
E09000032,Wandsworth,"161,700","187,600",86.2,4.2,"25,600","187,600",13.6,4.2,"156,200","187,600",83.3,4.6,"31,300","187,600",16.7,4.6,"82,500","91,600",90.0,5.4,"9,100","91,600",10.0,5.4,"73,700","96,000",76.8,7.2,"22,200","96,000",23.2,7.2
E09000033,Westminster,"91,100","111,800",81.4,6.8,"19,300","111,800",17.3,6.6,"95,500","111,800",85.4,6.2,"16,400","111,800",14.6,6.2,"49,800","56,400",88.3,8.0,"6,600","56,400",11.7,*,"45,700","55,400",82.4,9.4,"9,700","55,400",17.6,9.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"1,015,500","1,139,300",89.1,0.8,"120,500","1,139,300",10.6,0.8,"857,100","1,139,300",75.2,1.2,"279,300","1,139,300",24.5,1.2,"515,500","584,000",88.3,1.2,"66,800","584,000",11.4,1.2,"341,500","555,400",61.5,1.8,"212,400","555,400",38.3,1.8
E12000002,North West,"2,891,700","3,265,700",88.5,0.6,"363,300","3,265,700",11.1,0.6,"2,517,600","3,265,700",77.1,0.8,"742,000","3,265,700",22.7,0.8,"1,504,400","1,701,000",88.4,0.9,"194,800","1,701,000",11.5,0.9,"1,013,200","1,564,700",64.8,1.4,"547,200","1,564,700",35.0,1.4
E12000003,Yorkshire and The Humber,"2,202,800","2,485,000",88.6,0.7,"277,500","2,485,000",11.2,0.7,"1,872,400","2,485,000",75.3,1.0,"608,900","2,485,000",24.5,1.0,"1,150,000","1,305,100",88.1,1.1,"153,500","1,305,100",11.8,1.1,"722,400","1,179,800",61.2,1.6,"455,300","1,179,800",38.6,1.6
E12000004,East Midlands,"1,928,700","2,182,500",88.4,0.9,"247,300","2,182,500",11.3,0.9,"1,662,800","2,182,500",76.2,1.2,"516,700","2,182,500",23.7,1.2,"1,016,100","1,122,900",90.5,1.2,"105,700","1,122,900",9.4,1.2,"646,700","1,059,600",61.0,1.9,"411,000","1,059,600",38.8,1.9
E12000005,West Midlands,"2,356,300","2,664,700",88.4,0.8,"303,000","2,664,700",11.4,0.8,"2,063,300","2,664,700",77.4,1.0,"599,700","2,664,700",22.5,1.0,"1,256,200","1,395,100",90.0,1.0,"138,200","1,395,100",9.9,1.0,"807,100","1,269,600",63.6,1.6,"461,600","1,269,600",36.4,1.6
E12000006,East,"2,567,700","2,950,600",87.0,0.8,"375,500","2,950,600",12.7,0.8,"2,272,700","2,950,600",77.0,1.0,"675,100","2,950,600",22.9,1.0,"1,390,500","1,532,700",90.7,1.0,"139,500","1,532,700",9.1,1.0,"882,300","1,417,900",62.2,1.6,"535,600","1,417,900",37.8,1.6
E12000007,London,"3,891,300","4,591,300",84.8,0.8,"685,000","4,591,300",14.9,0.8,"3,744,700","4,591,300",81.6,0.9,"836,400","4,591,300",18.2,0.9,"2,181,100","2,436,600",89.5,1.0,"250,500","2,436,600",10.3,1.0,"1,563,600","2,154,600",72.6,1.4,"586,000","2,154,600",27.2,1.4
E12000008,South East,"3,734,400","4,338,500",86.1,0.6,"587,100","4,338,500",13.5,0.6,"3,325,900","4,338,500",76.7,0.8,"1,005,800","4,338,500",23.2,0.8,"2,020,200","2,259,200",89.4,0.8,"236,400","2,259,200",10.5,0.8,"1,305,600","2,079,300",62.8,1.3,"769,400","2,079,300",37.0,1.3
E12000009,South West,"2,217,200","2,582,500",85.9,0.8,"360,000","2,582,500",13.9,0.8,"1,900,900","2,582,500",73.6,1.0,"678,200","2,582,500",26.3,1.0,"1,166,500","1,324,500",88.1,1.0,"156,200","1,324,500",11.8,1.0,"734,400","1,258,000",58.4,1.5,"522,000","1,258,000",41.5,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W92000004,Wales,"1,216,300","1,390,000",87.5,0.7,"166,200","1,390,000",12.0,0.7,"1,039,900","1,390,000",74.8,0.9,"348,000","1,390,000",25.0,0.9,"637,900","725,200",88.0,1.0,"86,600","725,200",11.9,1.0,"402,000","664,800",60.5,1.5,"261,400","664,800",39.3,1.5
S92000003,Scotland,"2,241,100","2,507,800",89.4,0.6,"259,700","2,507,800",10.4,0.6,"1,894,100","2,507,800",75.5,0.9,"609,800","2,507,800",24.3,0.9,"1,118,200","1,269,300",88.1,1.0,"149,300","1,269,300",11.8,1.0,"775,900","1,238,500",62.6,1.4,"460,500","1,238,500",37.2,1.4
N92000002,Northern Ireland,"720,200","817,400",88.1,1.0,"95,000","817,400",11.6,1.0,"633,600","817,400",77.5,1.3,"182,400","817,400",22.3,1.3,"376,700","417,200",90.3,1.4,"39,300","417,200",9.4,1.3,"256,800","400,200",64.2,2.2,"143,100","400,200",35.7,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"22,805,700","26,200,100",87.0,0.3,"3,319,300","26,200,100",12.7,0.3,"20,217,400","26,200,100",77.2,0.3,"5,942,100","26,200,100",22.7,0.3,"12,200,600","13,661,200",89.3,0.3,"1,441,600","13,661,200",10.6,0.3,"8,016,800","12,538,900",63.9,0.5,"4,500,600","12,538,900",35.9,0.5
K04000001,England and Wales,"24,022,000","27,590,100",87.1,0.2,"3,485,500","27,590,100",12.6,0.2,"21,257,300","27,590,100",77.0,0.3,"6,290,100","27,590,100",22.8,0.3,"12,838,400","14,386,300",89.2,0.3,"1,528,100","14,386,300",10.6,0.3,"8,418,800","13,203,700",63.8,0.5,"4,762,000","13,203,700",36.1,0.5
K03000001,Great Britain,"26,263,100","30,097,900",87.3,0.2,"3,745,200","30,097,900",12.4,0.2,"23,151,400","30,097,900",76.9,0.3,"6,899,900","30,097,900",22.9,0.3,"13,956,700","15,655,600",89.1,0.3,"1,677,400","15,655,600",10.7,0.3,"9,194,700","14,442,300",63.7,0.5,"5,222,400","14,442,300",36.2,0.5
K02000001,United Kingdom,"26,983,300","30,915,300",87.3,0.2,"3,840,100","30,915,300",12.4,0.2,"23,785,000","30,915,300",76.9,0.3,"7,082,300","30,915,300",22.9,0.3,"14,333,400","16,072,800",89.2,0.3,"1,716,800","16,072,800",10.7,0.3,"9,451,600","14,842,500",63.7,0.4,"5,365,500","14,842,500",36.1,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
