,,UK SIC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,25,895,780,30,730,"1,010",280,"1,295","2,700","3,790","1,110","8,030","3,335",50,245,360,"1,100","25,765",,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,15,350,"1,910",260,455,815,860,495,575,80,160,800,825,145,180,515,380,"8,820",,,,,,,,,,,,,,,,,,
E09000003,Barnet,45,675,"3,645",390,"1,255","3,495",800,"1,085","2,465",550,"2,245","4,865","2,325",50,590,"1,245","1,605","27,330",,,,,,,,,,,,,,,,,,
E09000004,Bexley,10,445,"2,100",260,340,855,540,615,960,145,245,"1,405",865,25,240,500,595,"10,145",,,,,,,,,,,,,,,,,,
E09000005,Brent,10,595,"2,510",435,970,"2,135",970,"1,000","1,690",255,840,"2,490","1,475",50,335,765,"1,070","17,595",,,,,,,,,,,,,,,,,,
E09000006,Bromley,60,495,"2,560",265,510,"1,405",415,895,"1,930",360,575,"3,225","1,615",20,380,855,"1,195","16,760",,,,,,,,,,,,,,,,,,
E09000007,Camden,45,"1,105","1,745",190,"1,380","3,425",825,"2,190","5,175",905,"1,690","10,510","3,570",95,770,"1,190","2,870","37,680",,,,,,,,,,,,,,,,,,
E09000008,Croydon,20,540,"2,470",400,590,"1,710",725,"1,030","1,885",315,590,"2,810","1,495",55,420,"1,050","1,045","17,150",,,,,,,,,,,,,,,,,,
E09000009,Ealing,20,770,"2,650",480,"1,175","2,105","1,010","1,055","2,170",235,810,"3,110","1,735",30,405,850,"1,240","19,850",,,,,,,,,,,,,,,,,,
E09000010,Enfield,35,655,"2,515",420,850,"1,675",875,820,"1,300",230,750,"2,235","1,430",25,325,790,"1,010","15,940",,,,,,,,,,,,,,,,,,
E09000011,Greenwich,5,380,"1,520",175,345,"1,125",525,775,"1,445",130,310,"2,020","1,160",35,330,675,825,"11,780",,,,,,,,,,,,,,,,,,
E09000012,Hackney,20,835,"1,505",140,745,"2,015",445,"1,215","4,355",380,"1,570","5,875","2,275",45,525,775,"1,775","24,495",,,,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,10,400,830,130,555,"1,570",230,910,"1,780",375,670,"3,170","1,555",90,300,540,"1,155","14,270",,,,,,,,,,,,,,,,,,
E09000014,Haringey,15,550,"1,555",185,600,"1,385",505,850,"1,550",150,700,"2,565","1,190",30,310,615,"1,280","14,035",,,,,,,,,,,,,,,,,,
E09000015,Harrow,15,350,"2,495",330,780,"1,385",695,640,"2,090",335,965,"3,135","1,215",10,300,725,770,"16,235",,,,,,,,,,,,,,,,,,
E09000016,Havering,30,465,"2,755",365,440,"1,055",770,730,780,185,350,"1,365","1,030",30,230,560,660,"11,800",,,,,,,,,,,,,,,,,,
E09000017,Hillingdon,30,590,"2,470",435,795,"1,710","1,315",995,"1,740",295,620,"2,205","1,450",60,310,670,845,"16,535",,,,,,,,,,,,,,,,,,
E09000018,Hounslow,25,430,"1,580",320,745,"1,360","1,100",845,"2,345",240,515,"2,350","1,460",35,305,580,950,"15,185",,,,,,,,,,,,,,,,,,
E09000019,Islington,30,720,"1,295",120,840,"1,825",420,"1,385","3,990",685,925,"5,780","2,360",45,480,845,"1,850","23,595",,,,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,50,380,770,85,575,"1,915",210,"1,125","1,360",555,"1,190","3,480","1,800",35,315,675,"1,325","15,845",,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,15,285,"1,030",170,405,"1,425",255,555,"1,280",135,335,"2,055",885,70,210,485,610,"10,205",,,,,,,,,,,,,,,,,,
E09000022,Lambeth,15,440,"1,045",140,405,"1,320",405,"1,265","2,080",200,660,"3,435","1,705",70,370,825,"1,410","15,790",,,,,,,,,,,,,,,,,,
E09000023,Lewisham,10,340,"1,120",150,270,"1,045",415,875,"1,450",125,320,"2,205","1,020",35,285,675,"1,005","11,345",,,,,,,,,,,,,,,,,,
E09000024,Merton,15,390,"1,665",245,490,"1,015",545,615,"1,500",195,470,"2,520","1,295",25,270,610,750,"12,615",,,,,,,,,,,,,,,,,,
E09000025,Newham,5,460,"2,170",220,610,"2,025",965,950,"1,460",190,480,"1,820","1,450",55,385,640,765,"14,650",,,,,,,,,,,,,,,,,,
